epoch,avg_r,loss
1,-680.5059999999718,0.43575507402420044
2,-544.7999999999732,0.4194188416004181
3,-612.1929999999735,0.19449791312217712
4,-553.9859999999613,0.3989998996257782
5,-491.39899999996493,0.3785167932510376
6,-515.9529999999652,0.32837724685668945
7,-473.8129999999742,0.3598978519439697
8,-421.65299999997563,0.33067786693573
9,-398.59099999998347,0.2875351905822754
10,-352.57099999997774,0.4548739492893219
11,-341.10799999998613,0.32195255160331726
12,-265.17999999998983,0.40322840213775635
13,-269.0949999999908,0.22279438376426697
14,-251.7319999999955,0.2768368721008301
15,-224.12999999999298,0.3075317144393921
16,-261.0529999999888,0.5753093361854553
17,-204.07200000000165,0.14050474762916565
18,-209.26999999999967,0.3275131583213806
19,-194.33000000000223,0.17734259366989136
20,-192.53600000000242,0.31257107853889465
21,-192.07500000000425,0.25623440742492676
22,-186.32800000000472,0.09532008320093155
23,-193.19600000000545,0.3344145715236664
24,-182.77600000000578,0.1541295349597931
25,-184.4460000000025,0.23974788188934326
26,-177.94400000000553,0.1152147725224495
27,-173.4490000000078,0.18837735056877136
28,-181.74400000000446,0.2927601635456085
29,-194.1900000000019,0.3416043817996979
30,-166.48500000001158,0.3077687621116638
31,-175.88900000000638,0.3237501382827759
32,-161.83300000000875,0.23465515673160553
33,-161.52100000000905,0.13813698291778564
34,-157.6400000000092,0.20042958855628967
35,-163.8950000000093,0.10610941052436829
36,-157.27700000000735,0.33719611167907715
37,-159.20800000000864,0.08916608989238739
38,-171.76300000000643,0.27525830268859863
39,-155.09700000001072,0.1919693946838379
40,-158.84700000000797,0.388910710811615
41,-163.3440000000108,0.10241764038801193
42,-151.55300000000713,0.4111933708190918
43,-161.18200000000897,0.20345214009284973
44,-153.58900000000904,0.1301121562719345
45,-165.20300000000887,0.36776453256607056
46,-162.2640000000092,0.28841668367385864
47,-150.23100000000878,0.20100551843643188
48,-175.21600000000723,0.3042820990085602
49,-153.4750000000085,0.2470262497663498
50,-157.3170000000119,0.34289103746414185
51,-155.28800000000822,0.3254513144493103
52,-177.15300000000963,0.31808459758758545
53,-140.63200000000933,0.3003169298171997
54,-149.59300000000857,0.15918190777301788
55,-141.93200000000834,0.31390276551246643
56,-144.2750000000091,0.30966466665267944
57,-132.75000000000992,-0.010947801172733307
58,-133.09700000000893,0.4769914150238037
59,-151.04100000001245,0.49085503816604614
60,-133.0830000000093,0.10588596761226654
61,-130.6940000000098,0.14015379548072815
62,-128.03900000000618,0.4254836142063141
63,-119.38300000000606,0.15470919013023376
64,-120.6260000000076,0.2980518043041229
65,-124.15100000000746,0.10807976126670837
66,-110.59500000000935,0.2814621925354004
67,-119.05900000000885,0.40736711025238037
68,-111.22400000000636,0.31501004099845886
69,-124.80400000000547,0.32736465334892273
70,-105.22900000000735,0.20897385478019714
71,-103.71100000000604,0.42912137508392334
72,-98.41300000000592,0.18725967407226562
73,-96.13100000000576,0.20706872642040253
74,-98.05100000000643,0.11590762436389923
75,-102.36000000000826,0.32125332951545715
76,-116.53400000000902,0.44712555408477783
77,-100.8700000000066,0.12661167979240417
78,-98.86500000000679,0.07546542584896088
79,-94.14500000000639,0.2565801739692688
80,-90.37100000000493,0.1176900565624237
81,-87.18700000000423,0.21906499564647675
82,-87.29700000000469,0.18067970871925354
83,-81.5920000000056,0.20254185795783997
84,-82.39000000000368,0.1858978271484375
85,-83.76400000000524,0.14978399872779846
86,-82.43500000000542,0.30036184191703796
87,-88.00500000000551,0.3554286062717438
88,-84.06000000000603,0.12400270253419876
89,-79.30200000000302,0.18934793770313263
90,-78.91000000000443,0.1389561891555786
91,-75.15000000000495,0.1731933206319809
92,-75.31500000000524,0.06358800828456879
93,-72.6830000000039,0.12437727302312851
94,-70.26000000000481,0.20573988556861877
95,-68.99700000000301,0.1913147270679474
96,-70.65400000000412,0.02408187836408615
97,-69.77300000000372,0.09492465853691101
98,-67.63400000000416,0.10153749585151672
99,-67.66500000000369,0.10261821746826172
100,-67.87700000000292,0.11080072820186615
101,-67.19800000000511,0.05983443185687065
102,-64.34600000000447,0.17948566377162933
103,-66.13300000000245,0.20031625032424927
104,-65.53000000000453,0.10516048222780228
105,-64.47700000000202,0.027958955615758896
106,-62.76300000000412,0.19576957821846008
107,-62.880000000003335,0.16810917854309082
108,-63.469000000003376,0.10703149437904358
109,-59.91000000000372,0.22910040616989136
110,-59.34700000000317,0.08674374222755432
111,-60.966000000003184,0.13875557482242584
112,-59.405000000001564,0.05420571193099022
113,-59.86300000000208,0.2490430623292923
114,-56.893000000001656,0.13655230402946472
115,-58.96500000000207,0.2119799703359604
116,-60.13200000000314,0.16742193698883057
117,-57.67500000000089,0.21005162596702576
118,-59.117000000002655,0.23439766466617584
119,-59.18400000000347,0.12708881497383118
120,-57.46700000000128,0.1472998559474945
121,-61.49500000000302,0.049717504531145096
122,-58.223000000002855,0.19654469192028046
123,-60.958000000001405,0.12369433790445328
124,-60.751000000002044,0.21261370182037354
125,-60.55400000000343,0.3008016049861908
126,-58.158000000003724,0.1806773990392685
127,-59.17100000000277,0.19296865165233612
128,-57.072000000003335,0.0755002349615097
129,-55.85500000000191,0.0864022821187973
130,-56.30300000000163,0.09954412281513214
131,-55.799000000002664,0.12187960743904114
132,-56.44300000000158,0.12384319305419922
133,-55.68600000000317,0.19986723363399506
134,-55.44600000000157,0.12109576165676117
135,-54.01500000000276,0.09038074314594269
136,-54.04500000000222,0.07085058838129044
137,-54.01500000000123,0.045452605932950974
138,-55.579000000002544,0.18800485134124756
139,-52.6310000000017,0.2562108039855957
140,-52.018000000001585,0.05568462610244751
141,-51.620000000000374,0.20260602235794067
142,-54.51900000000192,0.12897633016109467
143,-51.58900000000056,0.21768887341022491
144,-52.118000000000656,0.06338346004486084
145,-51.214000000001185,0.1636444330215454
146,-49.92200000000005,0.07472867518663406
147,-52.91600000000153,0.20518890023231506
148,-50.72300000000089,0.09611004590988159
149,-51.82700000000113,0.15250737965106964
150,-50.86400000000015,0.17858707904815674
151,-51.47200000000043,0.007042769342660904
152,-51.28000000000136,0.15627606213092804
153,-52.35900000000135,0.0940592959523201
154,-51.03399999999903,0.17383819818496704
155,-51.34500000000011,0.11124807596206665
156,-49.533999999999686,0.16691692173480988
157,-48.06299999999858,0.1336657851934433
158,-49.14099999999936,0.13402283191680908
159,-51.06800000000106,-0.010328296571969986
160,-50.06800000000038,0.09304125607013702
161,-48.84599999999997,0.20658838748931885
162,-49.40300000000025,-0.06839564442634583
163,-48.22899999999934,0.20318540930747986
164,-50.2520000000004,0.1820831298828125
165,-51.31100000000131,0.16694612801074982
166,-47.678999999997856,0.07431221008300781
167,-47.942999999999586,0.11575096845626831
168,-47.735999999999414,0.17056229710578918
169,-47.71499999999884,0.1622748076915741
170,-46.29099999999857,-0.0038313381373882294
171,-45.97599999999868,0.10359881818294525
172,-45.09599999999759,0.12701579928398132
173,-47.57599999999869,0.2618683874607086
174,-43.972999999997754,0.14829495549201965
175,-44.3929999999986,0.18199479579925537
176,-44.69499999999897,0.12940263748168945
177,-44.061999999997596,0.03511355072259903
178,-45.33399999999808,0.08081278204917908
179,-45.232999999997865,0.030543863773345947
180,-43.21999999999677,0.14126579463481903
181,-43.14399999999604,0.20325550436973572
182,-43.41899999999725,0.10178682208061218
183,-43.01299999999639,0.05519968643784523
184,-43.613999999996935,0.02022276446223259
185,-43.17399999999683,0.13642261922359467
186,-41.08099999999577,0.08502309024333954
187,-42.07199999999626,0.06771478056907654
188,-40.362999999995864,0.14442984759807587
189,-41.82799999999621,0.046208735555410385
190,-38.3049999999959,0.09515176713466644
191,-42.08699999999629,0.09061264991760254
192,-39.36099999999579,0.10702452063560486
193,-40.745999999995114,-0.016761671751737595
194,-41.15199999999558,0.07501427829265594
195,-40.23999999999511,0.10771957039833069
196,-40.19699999999519,0.032033201307058334
197,-38.51599999999585,0.20103242993354797
198,-38.22499999999543,0.02559056505560875
199,-38.314999999995784,0.14174266159534454
