epoch,avg_r,loss
1,-708.2459999999899,0.5824698805809021
2,-593.8059999999675,0.45741787552833557
3,-570.5099999999707,0.39080822467803955
4,-560.2299999999594,0.3910987973213196
5,-524.8119999999628,0.33095428347587585
6,-441.14299999996314,0.32600846886634827
7,-503.2219999999707,0.3625311255455017
8,-413.61399999996934,0.5092631578445435
9,-383.4169999999838,0.3256000578403473
10,-412.94999999996935,0.3995921015739441
11,-446.4519999999785,0.4645997881889343
12,-401.91399999997526,0.28730159997940063
13,-349.9339999999774,0.31657716631889343
14,-337.6879999999852,0.4622472822666168
15,-320.469999999994,0.26654836535453796
16,-373.77999999997706,0.5212929844856262
17,-315.65199999998623,0.3046450912952423
18,-315.7129999999883,0.42363440990448
19,-351.90799999998694,0.2441733479499817
20,-280.3899999999916,0.3489868640899658
21,-302.5089999999852,0.3849310576915741
22,-302.3229999999857,0.34449177980422974
23,-251.96199999999638,0.3757622539997101
24,-268.0399999999933,0.3961602747440338
25,-271.6819999999881,0.3309074640274048
26,-257.6139999999919,0.2495885044336319
27,-220.59099999999736,0.4180906414985657
28,-220.24399999999602,0.2337295413017273
29,-224.72199999999535,0.2325117588043213
30,-207.95500000000135,0.18123281002044678
31,-206.79900000000072,0.21495313942432404
32,-200.94300000000177,0.39533454179763794
33,-199.01400000000334,0.14104889333248138
34,-202.62700000000117,0.3903025984764099
35,-205.79900000000112,0.27013838291168213
36,-205.63699999999884,0.2671685218811035
37,-190.311000000002,0.20239195227622986
38,-187.2860000000046,0.184798002243042
39,-190.60800000000344,0.22778739035129547
40,-193.07100000000474,0.3564445972442627
41,-186.68300000000258,0.43923497200012207
42,-181.05200000000386,0.09818437695503235
43,-181.7590000000044,0.34914714097976685
44,-174.14000000000595,0.09808126837015152
45,-173.10500000000752,0.45166194438934326
46,-176.4060000000049,0.3020762503147125
47,-175.19100000000537,0.19897550344467163
48,-171.8000000000068,0.20822420716285706
49,-164.2140000000081,0.1409156620502472
50,-164.35800000000677,0.24371400475502014
51,-176.05500000000364,0.27362680435180664
52,-170.1480000000077,0.17981454730033875
53,-162.67700000000704,0.3233005106449127
54,-164.36300000000924,0.2137114405632019
55,-154.27100000000732,0.28556028008461
56,-162.6050000000083,0.3030603528022766
57,-161.04900000000853,0.30143362283706665
58,-173.7580000000072,0.21351973712444305
59,-165.62200000000666,0.26462870836257935
60,-168.18800000000817,0.4329639673233032
61,-164.66500000000988,0.24910302460193634
62,-152.24300000000738,0.18113955855369568
63,-160.26600000001045,0.208042174577713
64,-158.8340000000081,0.17309071123600006
65,-157.36100000000982,0.17877118289470673
66,-181.16200000000197,0.3210734724998474
67,-156.81300000001,0.355713427066803
68,-162.81400000000883,0.30044955015182495
69,-161.50800000000666,0.36048153042793274
70,-158.34600000000816,0.30936864018440247
71,-149.68100000000948,0.1342872977256775
72,-157.9520000000098,0.27422842383384705
73,-146.99000000000714,0.24987874925136566
74,-143.87700000000643,0.15546822547912598
75,-146.53000000000944,0.1253781020641327
76,-147.70800000000668,0.1968122124671936
77,-137.54500000000718,0.403125524520874
78,-134.7030000000061,0.30005979537963867
79,-139.21800000000783,0.1436593383550644
80,-136.8980000000066,0.08720458298921585
81,-135.60600000000534,0.34508785605430603
82,-131.9690000000063,0.1183658018708229
83,-127.93900000000511,0.29104164242744446
84,-124.91500000000546,0.044466786086559296
85,-119.09900000000547,0.14719897508621216
86,-128.50800000000672,0.3539184629917145
87,-123.59100000000534,0.19443300366401672
88,-115.14400000000484,0.14882002770900726
89,-116.91200000000583,0.2620941698551178
90,-128.42000000000644,0.3677189350128174
91,-114.24800000000613,0.11874140799045563
92,-116.82700000000519,-0.02872849628329277
93,-115.87500000000696,0.1608971655368805
94,-118.27500000000606,0.29333335161209106
95,-109.96600000000608,0.25892364978790283
96,-111.47600000000669,0.0007870160043239594
97,-104.5790000000066,0.3024003207683563
98,-105.96300000000457,0.040505602955818176
99,-103.03900000000554,0.28756311535835266
100,-107.03400000000525,0.3390250504016876
101,-98.96500000000475,0.3125402331352234
102,-94.2740000000043,0.1805495023727417
103,-89.50700000000452,0.12408730387687683
104,-96.38800000000377,0.28046715259552
105,-92.99300000000486,0.22190731763839722
106,-88.05700000000401,0.1556035280227661
107,-83.63800000000388,0.1792478710412979
108,-85.33400000000495,0.2280215620994568
109,-86.82700000000482,0.15285052359104156
110,-90.8340000000052,0.32361462712287903
111,-82.45600000000526,0.1316525936126709
112,-82.8140000000038,0.15606102347373962
113,-81.13500000000299,0.14467328786849976
114,-78.16200000000435,0.14527501165866852
115,-78.75400000000282,0.08236363530158997
116,-80.65000000000359,0.13466468453407288
117,-79.69900000000376,0.2603747248649597
118,-78.9290000000039,0.12404780834913254
119,-76.38700000000311,0.15819266438484192
120,-74.92000000000301,0.18376664817333221
121,-75.05700000000337,0.14939998090267181
122,-75.5000000000043,0.33254432678222656
123,-75.16300000000409,0.16485264897346497
124,-74.37300000000316,0.1261381059885025
125,-71.68500000000284,0.10104899108409882
126,-75.43700000000406,0.1004328802227974
127,-72.5790000000033,0.20146168768405914
128,-73.75100000000334,0.23170538246631622
129,-72.67900000000382,0.1250026375055313
130,-71.91100000000314,0.1708625704050064
131,-70.39200000000322,0.00010544806718826294
132,-69.76000000000403,0.2561103403568268
133,-68.82000000000374,0.06031462550163269
134,-72.12000000000383,0.3012888729572296
135,-72.5570000000041,0.2775592803955078
136,-70.93400000000419,0.21901530027389526
137,-72.08000000000362,0.11928442865610123
138,-70.17400000000416,0.22869184613227844
139,-69.71200000000435,0.1074259877204895
140,-71.28600000000293,0.24035419523715973
141,-72.25200000000318,0.3470459282398224
142,-68.15900000000406,0.03886924684047699
143,-68.26100000000352,0.35535892844200134
144,-70.02600000000388,-0.00295933336019516
145,-75.22100000000428,0.35205477476119995
146,-70.73800000000413,0.2457265406847
147,-68.67400000000346,0.20516496896743774
148,-69.4340000000034,0.21295365691184998
149,-70.74700000000377,0.11972202360630035
150,-68.28800000000268,0.08702357858419418
151,-67.65900000000414,0.16010314226150513
152,-68.55600000000418,0.08468733727931976
153,-68.15500000000324,0.181244358420372
154,-67.64700000000396,0.04510348290205002
155,-68.04800000000343,0.16812533140182495
156,-71.0330000000036,0.24318908154964447
157,-68.9850000000037,0.10212783515453339
158,-67.78100000000212,0.1458682119846344
159,-66.67200000000271,0.1506607085466385
160,-67.68300000000394,0.19574451446533203
161,-67.87100000000208,0.13674765825271606
162,-67.79200000000236,0.11583501845598221
163,-68.06900000000405,0.1394200623035431
164,-67.16600000000376,0.23371842503547668
165,-68.56900000000358,-0.0065749213099479675
166,-66.79900000000237,0.13685467839241028
167,-67.96800000000361,0.2785380482673645
168,-67.25800000000437,0.16655099391937256
169,-66.8900000000029,0.12560415267944336
170,-66.38200000000329,0.24057964980602264
171,-67.3170000000031,0.18020200729370117
172,-65.3630000000049,0.2625013291835785
173,-67.50400000000374,0.09490339457988739
174,-65.7390000000024,0.2233915477991104
175,-66.5670000000028,0.09180711954832077
176,-66.9620000000028,0.13819094002246857
177,-64.78600000000323,0.20975394546985626
178,-65.07500000000304,0.24138875305652618
179,-66.38300000000403,0.09316793084144592
180,-65.7620000000025,0.19435450434684753
181,-68.45300000000343,0.20584069192409515
182,-68.23400000000443,0.21380546689033508
183,-65.64000000000394,0.15758898854255676
184,-65.63800000000353,0.04990760236978531
185,-62.34600000000296,0.18006812036037445
186,-66.36900000000352,0.2417680025100708
187,-64.08300000000338,0.09921357035636902
188,-62.601000000003324,0.1650492399930954
189,-61.77300000000313,0.06455899775028229
190,-63.05500000000348,0.16972759366035461
