epoch,avg_r,loss
1,-625.1799999999575,0.49977603554725647
2,-694.1829999999728,0.36037153005599976
3,-634.7169999999841,0.43893927335739136
4,-534.6589999999809,0.41387277841567993
5,-588.3739999999701,0.4084168076515198
6,-523.0219999999678,0.3286002278327942
7,-617.8409999999625,0.4053383469581604
8,-572.8769999999554,0.40833166241645813
9,-521.8639999999805,0.3678894340991974
10,-448.7609999999715,0.4056730270385742
11,-413.09399999997714,0.2952713370323181
12,-447.34899999997754,0.32941585779190063
13,-397.63399999997534,0.3303646445274353
14,-399.7669999999761,0.4156463146209717
15,-370.05699999998,0.2995154559612274
16,-349.0109999999835,0.37753286957740784
17,-374.95099999997785,0.2564811706542969
18,-276.7829999999875,0.3503621220588684
19,-272.3869999999919,0.43659284710884094
20,-263.11899999999093,0.3798595666885376
21,-246.5739999999949,0.35635337233543396
22,-221.20299999999898,-0.028258662670850754
23,-230.32499999999635,0.35882723331451416
24,-205.983,0.10985972732305527
25,-198.8920000000014,0.32298922538757324
26,-208.04800000000193,0.3710426688194275
27,-184.7670000000015,0.06853057444095612
28,-190.60700000000176,0.14448130130767822
29,-177.37400000000704,0.2518761157989502
30,-175.42300000000552,0.07743790745735168
31,-173.04700000000602,0.22555691003799438
32,-169.47000000000443,0.44045957922935486
33,-154.06300000000942,0.18555697798728943
34,-155.3030000000097,0.2361183911561966
35,-153.11600000000695,0.3089275062084198
36,-140.60800000000762,0.3419247567653656
37,-134.68300000000644,0.39550259709358215
38,-135.24900000000918,0.06885191053152084
39,-129.0220000000079,0.20774005353450775
40,-123.219000000008,0.19279523193836212
41,-114.5200000000062,0.2343602031469345
42,-113.40000000000559,0.26216399669647217
43,-107.14300000000704,0.25062116980552673
44,-97.5240000000045,0.2893335819244385
45,-97.18400000000416,0.22738517820835114
46,-91.59500000000452,0.17809006571769714
47,-97.2660000000052,0.0886823832988739
48,-91.56900000000407,0.2230999767780304
49,-84.50100000000404,0.12991097569465637
50,-80.67000000000338,0.2506061792373657
51,-80.02100000000499,0.15418174862861633
52,-76.54800000000427,0.3175414502620697
53,-74.38400000000428,0.23648321628570557
54,-73.40300000000339,0.22538596391677856
55,-71.8110000000033,0.2727164030075073
56,-70.80500000000401,0.1657944917678833
57,-67.98900000000296,0.17575225234031677
58,-67.44700000000361,0.2840734124183655
59,-64.40500000000307,0.19464488327503204
60,-66.09900000000299,0.18655383586883545
61,-65.60500000000255,0.24122820794582367
62,-64.41600000000335,0.15346674621105194
63,-65.95300000000387,0.22826825082302094
64,-64.51400000000342,0.20322197675704956
65,-63.17400000000177,0.19143342971801758
66,-63.706000000004266,0.25021690130233765
67,-65.95600000000395,0.1904258131980896
68,-62.75900000000241,0.18273013830184937
69,-64.20600000000265,0.3210658133029938
70,-67.40100000000373,0.23782271146774292
71,-65.41400000000263,0.06583663076162338
72,-65.01400000000304,0.16403460502624512
73,-64.89200000000302,0.17598700523376465
74,-63.73600000000335,0.17987114191055298
75,-62.38400000000264,0.19095368683338165
76,-61.49800000000202,0.05500029772520065
77,-65.18400000000321,-0.035440973937511444
78,-64.41900000000258,0.04703659191727638
79,-63.58700000000435,0.04535633698105812
80,-59.49200000000178,0.18660971522331238
81,-61.1740000000031,0.215673565864563
82,-59.87700000000217,0.12615695595741272
83,-59.669000000001695,0.09418655931949615
84,-58.996000000002624,0.22809837758541107
85,-58.4340000000021,0.07707913219928741
86,-59.412000000001825,0.2874998152256012
87,-60.80100000000256,0.07933687418699265
88,-58.291000000001134,0.053349871188402176
89,-61.170000000002936,0.13004200160503387
90,-59.06600000000192,0.11372590065002441
91,-59.56300000000285,0.06509131193161011
92,-60.59900000000202,0.1533796638250351
93,-59.733000000002946,0.19447609782218933
94,-59.66400000000258,0.1952267587184906
95,-57.94900000000313,-0.003251161426305771
96,-55.96900000000141,0.21541756391525269
97,-55.497000000002174,0.15394479036331177
98,-58.12300000000261,0.22600887715816498
99,-59.36000000000298,0.08263175189495087
100,-55.38600000000247,0.1499119997024536
101,-54.51700000000015,0.061224836856126785
102,-56.72600000000216,0.11404740810394287
103,-55.88300000000343,0.11967142671346664
104,-55.528000000002,0.09416626393795013
105,-53.756000000001514,0.18824315071105957
106,-55.90500000000182,0.10176745057106018
107,-56.64800000000234,0.12023947387933731
108,-53.88900000000155,0.11309964954853058
109,-53.36200000000209,0.04233042150735855
110,-53.7790000000013,0.17877624928951263
111,-54.86800000000074,0.2073860466480255
112,-55.27100000000171,0.08282890915870667
113,-55.113000000001556,0.039539583027362823
114,-54.40600000000121,0.21524974703788757
115,-56.559000000003614,0.08909681439399719
116,-52.720000000001235,0.159855917096138
117,-53.464000000002635,0.1407361626625061
118,-54.01800000000286,0.10107278823852539
119,-52.95000000000219,0.09925133734941483
120,-53.213000000002005,0.07626865804195404
121,-53.35900000000177,0.05970759317278862
122,-52.717000000002884,0.16137361526489258
123,-55.57199999999941,0.028427481651306152
124,-54.12400000000157,0.11924536526203156
125,-53.103000000002964,0.12159993499517441
126,-52.8350000000012,0.02344398945569992
127,-54.24700000000284,-0.03732636943459511
128,-55.041000000000594,0.08865317702293396
129,-54.56000000000125,0.09949351102113724
130,-52.467000000002855,0.05652577430009842
131,-53.72799999999977,-0.09982430189847946
132,-53.81100000000239,0.2062578797340393
133,-54.99000000000316,0.02951468527317047
134,-54.038000000002086,0.26773953437805176
135,-55.31700000000147,0.12318941950798035
136,-51.68899999999981,0.12902122735977173
137,-54.527000000001735,0.14756764471530914
138,-53.69300000000133,0.11596475541591644
139,-54.91100000000268,0.05655284225940704
140,-54.06400000000096,0.037606753408908844
141,-52.50300000000112,0.027547642588615417
142,-53.88900000000019,0.16311687231063843
143,-55.99100000000145,0.02041725441813469
144,-52.08100000000082,0.10169112682342529
145,-53.508000000001466,0.18263261020183563
146,-52.08700000000252,0.16615606844425201
147,-52.060000000001494,0.1735714077949524
148,-51.127000000001935,0.09938538074493408
149,-47.84999999999972,0.18426157534122467
150,-51.19300000000054,0.02849419414997101
151,-52.701999999999146,0.04609042406082153
152,-54.28900000000256,0.19549322128295898
153,-51.149000000000754,0.06467895209789276
154,-49.257000000000716,0.10161037743091583
155,-51.883000000000585,0.14534905552864075
156,-52.26000000000026,0.14094196259975433
157,-51.18500000000211,0.16502052545547485
158,-48.589999999999236,0.1443084180355072
159,-50.252999999999254,0.1725458800792694
160,-51.52600000000155,0.12947794795036316
161,-54.779000000001545,0.004898622632026672
162,-49.45600000000055,0.22406317293643951
163,-53.29500000000243,-0.10783495008945465
164,-48.085999999998485,0.31630125641822815
165,-51.65800000000169,-0.017079461365938187
166,-47.13899999999756,0.2970849573612213
167,-50.97999999999859,-0.03375730291008949
168,-47.91600000000003,0.1742461919784546
169,-45.356999999997896,0.15617802739143372
170,-47.89399999999868,0.09927737712860107
171,-47.23699999999931,0.26837387681007385
172,-47.6730000000002,-0.056351177394390106
173,-46.533999999998386,0.23364801704883575
174,-43.3079999999972,0.08760811388492584
175,-44.106999999997036,0.10226093977689743
176,-44.52599999999733,0.14627447724342346
177,-42.68799999999643,0.07353023439645767
178,-46.02299999999818,0.011056609451770782
179,-45.81599999999753,0.1549578309059143
180,-41.98399999999574,0.23462675511837006
